Version,File,Width,Height,Compression,Transparency,Colorspace,Bytes
Detailed,Big-Bones_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Big-Bones_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,bird_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,bird_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Boneyard Wolf_DIF_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Boneyard Wolf_DIF_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,bull_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,bull_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,cage_beast_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,cage_beast_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crab-Monster_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Crab-Monster_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Crimper_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,Crimper_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Dog1_Fur2_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur2_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Dog1_Fur_D_LO.dds,256,256,None,Blend,srgba,262272
Original,Dog1_Fur_D_LO.dds,256,256,DXT5,Blend,srgba,87536

Detailed,Dog_D.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Dog_N.dds,1024,1024,None,Blend,srgba,4194432
Original,Dog_N.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,elephant_turtle_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,elephant_turtle_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,flesh_insect_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,flesh_insect_diffuse_red_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,flesh_insect_diffuse_red_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,frog_gorilla_blue_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,frog_gorilla_blue_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,frog_gorilla_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,frog_gorilla_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,goat_diffuse_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,goat_diffuse_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Land_Bat_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Land_Bat_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,leviaphan_diffuse_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,leviaphan_diffuse_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,mammal_beak_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,mammal_beak_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,mammal_beak_normal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,mammal_beak_normal_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,pack_beast_diffuse_HI.dds,4096,2048,None,Blend,srgba,33554560
Original,pack_beast_diffuse_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,pack_beast_luggage_bags_normal.dds,1024,512,None,Blend,srgba,2097280
Original,pack_beast_luggage_bags_normal.dds,1024,512,DXT1,Undefined,srgb,349672

Detailed,pack_beast_normal_HI.dds,4096,2048,None,Blend,srgba,33554560
Original,pack_beast_normal_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,robot_worker_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,robot_worker_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,robot_worker_diffusewhite.dds,2048,2048,None,Blend,srgba,16777344
Original,robot_worker_diffusewhite.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,skimmer_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,skimmer_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,swamp_duck_diffuse.dds,1024,512,None,Blend,srgba,2097280
Original,swamp_duck_diffuse.dds,1024,512,DXT5,Blend,srgba,699216

Detailed,ATLAS1.dds,4096,4096,None,Blend,srgba,67108992
Original,ATLAS1.dds,4096,4096,DXT5,Blend,srgba,16777344

Detailed,concrete13.dds,1024,676,None,Blend,srgba,2769024
Original,concrete13.dds,1024,676,DXT1,Undefined,srgb,462616

Detailed,metal14.dds,1024,512,None,Blend,srgba,2097280
Original,metal14.dds,1024,512,DXT5,Blend,srgba,699216

Detailed,metal20.dds,1024,1024,None,Blend,srgba,4194432
Original,metal20.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,Cannibal_Camp_B_D.dds,2048,2048,None,Blend,srgba,16777344
Original,Cannibal_Camp_B_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,CannibalCamp Butchery Table_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,CannibalCamp Butchery Table_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Cannibal_Camp_C_D.dds,2048,2048,None,Blend,srgba,16777344
Original,Cannibal_Camp_C_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,CannibalCamp Cooking Pit_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,CannibalCamp Cooking Pit_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Cannibal_Camp_D_D_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Cannibal_Camp_D_D_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,CannibalCamp E_D_HI.dds,4096,2048,None,Blend,srgba,33554560
Original,CannibalCamp E_D_HI.dds,4096,2048,DXT5,Blend,srgba,11184976

Detailed,Cannibal_Camp_G_Trophy_D.dds,2048,2048,None,Blend,srgba,16777344
Original,Cannibal_Camp_G_Trophy_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,CannibalCamp_SpikeyCage_DIF_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,CannibalCamp_SpikeyCage_DIF_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,Bench_Crossbow_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Bench_Crossbow_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Bench Machinery_Diff_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Bench Machinery_Diff_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,BENCH Robot Limbs_DIF.dds,512,512,None,Blend,srgba,1048704
Original,BENCH Robot Limbs_DIF.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Biofuel_Distillery_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Biofuel_Distillery_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,chainleathermachinebench_atlas_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,chainleathermachinebench_atlas_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,ResearchBench_d.dds,2048,2048,None,Blend,srgba,16777344
Original,ResearchBench_d.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Robotic_Bench_Ancient_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Robotic_Bench_Ancient_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Robotic_Bench_diffuse_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,Robotic_Bench_diffuse_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Smithy_Bench_D.dds,2048,2048,None,Blend,srgba,16777344
Original,Smithy_Bench_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,storages_D_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,storages_D_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,texBench_D.dds,2048,2048,None,Blend,srgba,16777344
Original,texBench_D.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,farm_crops_diffuse.dds,2048,1024,None,Blend,srgba,8388736
Original,farm_crops_diffuse.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,hemp_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,hemp_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,door_n.dds,512,512,None,Blend,srgba,1048704
Original,door_n.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,Door_Texture.dds,512,512,None,Blend,srgba,1048704
Original,Door_Texture.dds,512,512,DXT5,Blend,srgba,349680

Detailed,bed_tex.dds,512,512,None,Blend,srgba,1048704
Original,bed_tex.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,None,Blend,srgba,8388736
Original,Bin-of-ScreamerHeadsDIF_HI.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,chest1.dds,512,512,None,Blend,srgba,1048704
Original,chest1.dds,512,512,DXT5,Blend,srgba,349680

Detailed,chest2.dds,512,512,None,Blend,srgba,1048704
Original,chest2.dds,512,512,DXT5,Blend,srgba,349680

Detailed,chest.dds,512,512,None,Blend,srgba,1048704
Original,chest.dds,512,512,DXT5,Blend,srgba,349680

Detailed,ConcreteBarrier_01_D.dds,1024,1024,None,Blend,srgba,4194432
Original,ConcreteBarrier_01_D.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,engcrate01_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,engcrate01_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,engcrate01_m.dds,256,256,None,Blend,srgba,262272
Original,engcrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,engcrate08_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,engcrate08_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,medicrate_d.dds,1024,1024,None,Blend,srgba,4194432
Original,medicrate_d.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,Peeler_DIF_HI.dds,4096,4096,None,Blend,srgba,67108992
Original,Peeler_DIF_HI.dds,4096,4096,DXT5,Blend,srgba,22369776

Detailed,Peeler_Metal_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,Peeler_Metal_HI.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,scicrate01_d_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,scicrate01_d_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,scicrate01_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate01_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scicrate03_d_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,scicrate03_d_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,scicrate03_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate03_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scicrate05_d.dds,512,512,None,Blend,srgba,1048704
Original,scicrate05_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,scicrate05_m.dds,256,256,None,Blend,srgba,262272
Original,scicrate05_m.dds,256,256,DXT1,Undefined,srgb,43832

Detailed,scisafe_d.dds,512,512,None,Blend,srgba,1048704
Original,scisafe_d.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Street_Lamp_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Street_Lamp_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,20051009_0052_0001.dds,1024,1024,None,Blend,srgba,4194432
Original,20051009_0052_0001.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,ATLAS_interior.dds,512,4096,None,Blend,srgba,8388736
Original,ATLAS_interior.dds,512,4096,DXT5,Blend,srgba,2796432

Detailed,atlas_regular_diffuse.dds,1024,4096,None,Blend,srgba,16777344
Original,atlas_regular_diffuse.dds,512,2048,DXT5,Blend,srgba,1398288

Detailed,banners_bone_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,banners_bone_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,banners_empire_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,banners_empire_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,banners_holy_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,banners_holy_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,banners_swamp_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,banners_swamp_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,banners_TRADERS_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,banners_TRADERS_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,BARSIGN2_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,BARSIGN2_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,BARSIGN3_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,BARSIGN3_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,BARSIGN4_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,BARSIGN4_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,BARSIGN_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,BARSIGN_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,basicGate.dds,2048,1536,None,Blend,srgba,12583040
Original,basicGate.dds,2048,1536,DXT5,Blend,srgba,4194480

Detailed,cage_diffuse.dds,2048,2048,None,Blend,srgba,16777344
Original,cage_diffuse.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,con001.dds,1200,900,None,Blend,srgba,4320128
Original,con001.dds,1200,900,DXT5,Blend,srgba,1442592

Detailed,concrete01.dds,512,512,None,Blend,srgba,1048704
Original,concrete01.dds,512,512,DXT1,Blend,srgba,174896

Detailed,construction.dds,512,512,None,Blend,srgba,1048704
Original,construction.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Corrosion_C_12.dds,2048,2048,None,Blend,srgba,16777344
Original,Corrosion_C_12.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Corrosion_C_33.dds,1024,1024,None,Blend,srgba,4194432
Original,Corrosion_C_33.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,Diamondplate2.dds,1024,1024,None,Blend,srgba,4194432
Original,Diamondplate2.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,FLoorPanels_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,FLoorPanels_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,GalvRoof.dds,2048,1536,None,Blend,srgba,12583040
Original,GalvRoof.dds,2048,1536,DXT5,Blend,srgba,4194480

Detailed,grandmisc.dds,1024,1024,None,Blend,srgba,4194432
Original,grandmisc.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,grandmisc_metal_HI.dds,512,512,None,Blend,srgba,1048704
Original,grandmisc_metal_HI.dds,512,512,DXT1,Undefined,srgb,174904

Detailed,greybump.dds,2048,2048,None,Blend,srgba,16777344
Original,greybump.dds,2048,2048,DXT1,Undefined,srgb,2796344

Detailed,greywall02.dds,2048,1024,None,Blend,srgba,8388736
Original,greywall02.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,horange1-cropped.dds,2048,2048,None,Blend,srgba,16777344
Original,horange1-cropped.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Indoor_GasLamp_DIF.dds,1024,1024,None,Blend,srgba,4194432
Original,Indoor_GasLamp_DIF.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,indoor_lamp1_diffuse.dds,256,256,None,Blend,srgba,262272
Original,indoor_lamp1_diffuse.dds,256,256,DXT5,Blend,srgba,87536

Detailed,bravofloor.dds,1024,1024,DXT1,Undefined,srgb,699192
Original,bravofloor.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,bravofloor_green.dds,1024,1024,DXT1,Undefined,srgb,699192
Original,bravofloor_green.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,ConcreteBunker0478_5_L-1024.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,ConcreteBunker0478_5_L-1024.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,ConcreteBunker0478_5_L-2048.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,ConcreteBunker0478_5_L-2048.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,ConcretePlates0097_23_M.dds,1024,1024,DXT5,Blend,srgba,1398256
Original,ConcretePlates0097_23_M.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,MetalFloorsRusted0045_L.dds,1536,1024,DXT5,Blend,srgba,2097312
Original,MetalFloorsRusted0045_L.dds,1536,1024,DXT5,Blend,srgba,2097312

Detailed,stoneSlats.dds,1024,1024,DXT1,Undefined,srgb,699192
Original,stoneSlats.dds,1024,1024,DXT1,Undefined,srgb,699192

Detailed,Leatheresque_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Leatheresque_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,lighting_test_ball_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,lighting_test_ball_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,METAL0059.dds,1024,1024,None,Blend,srgba,4194432
Original,METAL0059.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,metalplates01.dds,1024,1024,None,Blend,srgba,4194432
Original,metalplates01.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,metalstep.dds,2048,2048,None,Blend,srgba,16777344
Original,metalstep.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,ConcreteDirty0081_1_L.dds,2048,1536,DXT1,Undefined,srgb,2097304
Original,ConcreteDirty0081_1_L.dds,2048,1536,DXT1,Undefined,srgb,2097304

Detailed,moordetailsatlass2x4.dds,2048,4096,DXT5,Blend,srgba,11184976
Original,moordetailsatlass2x4.dds,2048,4096,DXT5,Blend,srgba,11184976

Detailed,theorig.dds,2048,2048,DXT5,Blend,srgba,5592560
Original,theorig.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Old-World_Flouresc-Light_DIF.dds,2048,2048,None,Blend,srgba,16777344
Original,Old-World_Flouresc-Light_DIF.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,props_atlas_regular_diffuse.dds,1024,8192,None,Blend,srgba,33554560
Original,props_atlas_regular_diffuse.dds,512,4096,DXT5,Blend,srgba,2796432

Detailed,props_atlas_regular_metalness.dds,512,4096,None,Blend,srgba,8388736
Original,props_atlas_regular_metalness.dds,512,4096,DXT1,Undefined,srgb,1398280

Detailed,redpaintrust.dds,2048,2048,None,Blend,srgba,16777344
Original,redpaintrust.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,RoboticsSHopSIgn_DIF_HI.dds,2048,2048,None,Blend,srgba,16777344
Original,RoboticsSHopSIgn_DIF_HI.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,sandstone3.dds,1536,1024,None,Blend,srgba,6291584
Original,sandstone3.dds,1536,1024,DXT1,Undefined,srgb,1048720

Detailed,Scratch_C_13.dds,2048,2048,None,Blend,srgba,16777344
Original,Scratch_C_13.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Scratch_C_45.dds,2048,2048,None,Blend,srgba,16777344
Original,Scratch_C_45.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Scratch_C_82.dds,1536,1536,None,Blend,srgba,9437312
Original,Scratch_C_82.dds,1536,1536,DXT5,Blend,srgba,3145904

Detailed,Severe_C_01.dds,2048,2048,None,Blend,srgba,16777344
Original,Severe_C_01.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,Severe_C_10.dds,512,512,None,Blend,srgba,1048704
Original,Severe_C_10.dds,512,512,DXT5,Blend,srgba,349680

Detailed,Severe_C_25.dds,1024,1024,None,Blend,srgba,4194432
Original,Severe_C_25.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,sign.dds,2048,2048,None,Blend,srgba,16777344
Original,sign.dds,2048,2048,DXT5,Blend,srgba,5592560

Detailed,signs2_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,signs2_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,signs_diffuse.dds,1024,1024,None,Blend,srgba,4194432
Original,signs_diffuse.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,stoneSlats_green_HI.dds,1024,1024,None,Blend,srgba,4194432
Original,stoneSlats_green_HI.dds,1024,1024,DXT5,Blend,srgba,1398256

Detailed,TALL_ATLAS01.dds,2048,4096,None,Blend,srgba,33554560
Original,TALL_ATLAS01.dds,2048,4096,DXT5,Blend,srgba,11184976

Detailed,TALL_ATLAS03.dds,2048,4096,None,Blend,srgba,33554560
Original,TALL_ATLAS03.dds,2048,4096,DXT5,Blend,srgba,11184976

Detailed,TALL_ATLAS03_RESKIN.dds,2048,4096,None,Blend,srgba,33554560
Original,TALL_ATLAS03_RESKIN.dds,2048,4096,DXT5,Blend,srgba,11184976

Detailed,TALL_ATLAS04.dds,2048,4096,None,Blend,srgba,33554560
Original,TALL_ATLAS04.dds,2048,4096,DXT5,Blend,srgba,11184976

Detailed,tilestone.dds,2048,1024,None,Blend,srgba,8388736
Original,tilestone.dds,2048,1024,DXT3,Blend,srgba,2796320

Detailed,Tiling_Cloth_diffuse.dds,512,512,None,Blend,srgba,1048704
Original,Tiling_Cloth_diffuse.dds,512,512,DXT5,Blend,srgba,349680

Detailed,wall02.dds,2048,1024,None,Blend,srgba,8388736
Original,wall02.dds,2048,1024,DXT5,Blend,srgba,2796368

Detailed,wall_sandstone.dds,1536,1536,None,Blend,srgba,9437312
Original,wall_sandstone.dds,1536,1536,DXT5,Blend,srgba,3145904

Detailed,window_HI.dds,256,256,None,Blend,srgba,262272
